"COM";"LIBELLE"
"01059";"Brénaz"
"01091";"Châtillon-en-Michaille"
"01097";"Chavornay"
"01119";"Corcelles"
"01120";"Cordieux"
"01122";"Cormaranche-en-Bugey"
"01137";"Cuisiat"
"01144";"Dommartin"
"01154";"Étrez"
"01172";"Germagnat"
"01182";"Groslée"
"01186";"Hostiaz"
"01205";"Lancrans"
"01218";"Lochieu"
"01221";"Lompnieu"
"01271";"Nattages"
"01300";"Le Poizat"
"01312";"Pressiat"
"01324";"Rignat"
"01340";"Saint-Bois"
"01413";"Surjoux"
"01414";"Sutrieu"
"01417";"Thézillieu"
"01442";"Vieu"
"02026";"Artonges"
"02147";"La Celle-sous-Montmirail"
"02161";"La Chapelle-Monthodon"
"02285";"Escaufourt"
"02300";"Fargniers"
"02301";"Faucoucourt"
"02325";"Fontenelle-en-Brie"
"02348";"Glennes"
"02434";"Lizy"
"02475";"Menneville"
"02479";"Merval"
"02597";"Perles"
"02630";"Quessy"
"02646";"Révillon"
"02669";"Saint-Agnan"
"02695";"Saint-Thibaut"
"02733";"Suzy"
"02771";"Vauxcéré"
"02811";"Villers-en-Prayères"
"02825";"Vouël"
"03123";"Givarlais"
"03153";"Louroux-Hodement"
"03318";"Vitray"
"04003";"Albiosc"
"04010";"Argens"
"04011";"Astoin"
"04029";"Blégiers"
"04052";"Châteauneuf-lès-Moustiers"
"04082";"Esparron-la-Bâtie"
"04100";"Larche"
"04105";"Lincel"
"04131";"Montpezat"
"04153";"Le Poil"
"04165";"Reynier"
"04198";"Saint-Vincent-les-Forts"
"05005";"Antonaves"
"05020";"Bénévent-et-Charbillac"
"05034";"Châteauneuf-de-Chabre"
"05067";"Les Infournas"
"05088";"Montmorin"
"05120";"Ristolas"
"05125";"Romette"
"05150";"Sainte-Marie"
"07016";"Asperjoc"
"07043";"Brahic"
"07046";"Casteljau"
"07057";"Chassagnes"
"07135";"Laval-d'Aurelle"
"07164";"Naves"
"07246";"Saint-Jean-de-Pourcharesse"
"07256";"Saint-Julien-Labrousse"
"08009";"Amblimont"
"08012";"Andevanne"
"08042";"Balaives-et-Butz"
"08050";"Barricourt"
"08051";"Bay"
"08068";"Blaise"
"08072";"Bosseval-et-Briancourt"
"08079";"Boutancourt"
"08112";"Châtillon-sur-Bar"
"08114";"Chéhéry"
"08152";"Élan"
"08177";"Foulzy"
"08213";"La Hardoye"
"08258";"Logny-lès-Chaumont"
"08265";"Mainbresson"
"08266";"Mainbressy"
"08267";"Mairy"
"08285";"Meillier-Fontaine"
"08337";"Pargny-Resson"
"08345";"Primat"
"08359";"Rémonville"
"08371";"Rubécourt-et-Lamécourt"
"08443";"Terron-sur-Aisne"
"08475";"Villers-Cernay"
"08493";"Vrizy"
"08495";"Wadimont"
"09028";"Aulos"
"09036";"Banat"
"09135";"Goulier"
"09286";"Sem"
"09302";"Suc-et-Sentenac"
"09304";"Suzan"
"09317";"Uchentein"
"10036";"Beauvoir-sur-Sarce"
"10277";"Palis"
"10311";"Quincey"
"10415";"Villemaur-sur-Vanne"
"11050";"Brenac"
"11097";"Conilhac-de-la-Montagne"
"11171";"Gueytes-et-Labastide"
"11298";"Pradelles-en-Val"
"11329";"Rouvenac"
"11349";"Saint-Just-de-Bélengard"
"12014";"Aurelle-Verlac"
"12040";"Buzeins"
"12081";"Coussergues"
"12087";"Cruéjouls"
"12114";"Grand-Vabre"
